Project,Subproject,Treatment,Deployment Name,ID Type,Deployment ID,Sequence ID,Start_date,Day,Date,Time,Calendar_Date,Julian_Date,Detection_Time_24,Detection_Time_12,,Begin Time,End Time,Species Name,Common Name,Age,Sex,Individually Identifiable,Count,Actual Lat,Actual Lon,Fuzzed
Smithsonian Grassland Ecology Program,CMR_2019,CMR_2019:Other,autumn_CMR_Forest06_Cam2,Researcher,d53411,d53411s6,43657,20,43676,0.943020833,7/30/19,,22:37:57,10:37:57 PM,Night,2019-07-30T22:37:57,2019-07-30T22:38:01,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.61023,-108.35994,FALSE
Smithsonian Grassland Ecology Program,CMR_2019,CMR_2019:Other,autumn_CMR_Forest06_Cam3,Researcher,d53412,d53412s9,43657,36,43692,0.901678241,8/15/19,,21:38:25,9:38:25 PM,Night,2019-08-15T21:38:25,2019-08-15T21:38:29,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.6146,-108.36454,FALSE
Smithsonian Grassland Ecology Program,CMR_2019,CMR_2019:Other,autumn_CMR_PD33_Cam3,Researcher,d53496,d53496s5,43673,18,43690,0.700543981,8/13/19,,16:48:47,4:48:47 PM,Day,2019-08-13T16:48:47,2019-08-13T16:48:51,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.60961,-107.93739,FALSE
Smithsonian Grassland Ecology Program,Fort_Belknap_2019,Fort_Belknap_2019:Other,autumn_FBTC_Bison_Cam2,Researcher,d53675,d53675s4,43701,6,43706,0.049212963,8/29/19,,1:10:52,1:10:52 AM,Night,2019-08-29T01:10:52,2019-08-29T01:10:54,Taxidea taxus,American Badger,Unknown,Unknown,N,1,48.30319,-108.8328,
Smithsonian Grassland Ecology Program,PN_2019,PN_2019:Other,autumn_JRS_Cattle_Cam1,Researcher,d53824,d53824s14,43655,48,43702,0.292175926,8/25/19,,7:00:44,7:00:44 AM,Day,2019-08-25T07:00:44,2019-08-25T07:00:48,Taxidea taxus,American Badger,Adult,Unknown,N,1,47.66212,-109.64879,FALSE
Smithsonian Grassland Ecology Program,Sun_Prairie_2019,Sun_Prairie_2019:Other,autumn_ThirdC_Cattle_Cam2,Researcher,d53987,d53987s4,43711,7,43717,0.802094907,9/9/19,,19:15:01,7:15:01 PM,Day,2019-09-09T19:15:01,2019-09-09T19:15:02,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.7687,-107.80735,
Smithsonian Grassland Ecology Program,Timber_Creek_2019,Timber_Creek_2019:Other,autumn_TimberCreek_831_Cam2,Researcher,d54071,d54071s3,43681,9,43689,0.362928241,8/12/19,,8:42:37,8:42:37 AM,Day,2019-08-12T08:42:37,2019-08-12T08:42:39,Taxidea taxus,American Badger,Unknown,Unknown,N,1,48.03459,-107.18874,FALSE
Smithsonian Grassland Ecology Program,Timber_Creek_2019,Timber_Creek_2019:Other,autumn_TimberCreek_PD17_Cam1,Researcher,d54112,d54112s12,43681,7,43687,0.072916667,8/10/19,,1:45:00,1:45:00 AM,Night,2019-08-10T01:45:00,2019-08-10T01:45:03,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.81661,-107.27621,FALSE
Smithsonian Grassland Ecology Program,Timber_Creek_2019,Timber_Creek_2019:Other,autumn_TimberCreek_PD17_Cam1,Researcher,d54112,d54112s13,43681,7,43687,0.231168981,8/10/19,,5:32:53,5:32:53 AM,Night,2019-08-10T05:32:53,2019-08-10T05:32:58,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.81661,-107.27621,FALSE
Smithsonian Grassland Ecology Program,Timber_Creek_2019,Timber_Creek_2019:Other,autumn_TimberCreek_PD17_Cam2,Researcher,d54113,d54113s9,43681,21,43701,0.884814815,8/24/19,,21:14:08,9:14:08 PM,Night,2019-08-24T21:14:08,2019-08-24T21:14:09,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.8123,-107.2741,FALSE
Smithsonian Grassland Ecology Program,White_Rock_2019,White_Rock_2019:Other,autumn_WhiteRock_Grass14_Cam2,Researcher,d54137,d54137s5,43705,16,43720,0.784293981,9/12/19,,18:49:23,6:49:23 PM,Day,2019-09-12T18:49:23,2019-09-12T18:49:27,Taxidea taxus,American Badger,Unknown,Unknown,N,1,48.0331,-108.02996,
Smithsonian Grassland Ecology Program,White_Rock_2019,White_Rock_2019:Other,autumn_WhiteRock_PD24_Cam3,Researcher,d54192,d54192s4,43705,18,43722,0.652777778,9/14/19,,15:40:00,3:40:00 PM,Day,2019-09-14T15:40:00,2019-09-14T15:40:01,Taxidea taxus,American Badger,Unknown,Unknown,N,1,48.01131,-108.01124,
Smithsonian Grassland Ecology Program,SCB_APR_2018,SCB_APR_2018:Grassland,BL_PD25_Cam2_R1,Researcher,d44880,d44880s11,43313,19,43331,0.773784722,8/19/18,,18:34:15,6:34:15 PM,Day,2018-08-19T18:34:15,2018-08-19T18:34:19,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.73565,-107.60497,FALSE
Smithsonian Grassland Ecology Program,SCB_APR_2018,SCB_APR_2018:Grassland,DF_PD44_Cam4_R1,Researcher,d44924,d44924s3,43324,22,43345,0.166493056,9/2/18,,3:59:45,3:59:45 AM,Night,2018-09-02T03:59:45,2018-09-02T03:59:51,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.89201,-108.17421,FALSE
Smithsonian Grassland Ecology Program,SCB_APR_2018_R2,SCB_APR_2018_R2:Grassland,SP_PD1_Cam2_R2,Researcher,d46467,d46467s74,43316,20,43335,0.987962963,8/23/18,,23:42:40,11:42:40 PM,Night,2018-08-23T23:42:40,2018-08-23T23:42:44,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.75346,-107.7663,FALSE
Smithsonian Grassland Ecology Program,Burnt_Lodge_2019,Burnt_Lodge_2019:Other,spring_BurntLodge_PD26_Cam2,Researcher,d53354,d53354s15,43596,14,43609,0.058599537,5/24/19,,1:24:23,1:24:23 AM,Night,2019-05-24T01:24:23,2019-05-24T01:24:27,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.74234,-107.54253,FALSE
Smithsonian Grassland Ecology Program,CMR_2019,CMR_2019:Other,spring_CMR_PD31_Cam3,Researcher,d53499,d53499s5,43596,9,43604,0.933009259,5/19/19,,22:23:32,10:23:32 PM,Night,2019-05-19T22:23:32,2019-05-19T22:23:36,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.59509,-107.90314,FALSE
Smithsonian Grassland Ecology Program,Dry_Fork_2019,Dry_Fork_2019:Other,spring_DryFork_PD48_Cam2,Researcher,d53624,d53624s3,43594,11,43604,0.955532407,5/19/19,,22:55:58,10:55:58 PM,Night,2019-05-19T22:55:58,2019-05-19T22:56:02,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.84132,-108.15662,FALSE
Smithsonian Grassland Ecology Program,Dry_Fork_2019,Dry_Fork_2019:Other,spring_DryFork_PD48_Cam3,Researcher,d53625,d53625s4,43594,4,43597,0.73400463,5/12/19,,17:36:58,5:36:58 PM,Day,2019-05-12T17:36:58,2019-05-12T17:37:02,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.84156,-108.15199,FALSE
Smithsonian Grassland Ecology Program,Fort_Belknap_2019,Fort_Belknap_2019:Other,spring_FBIR_Grass02_Cam3,Researcher,d53733,d53733s5,43626,3,43628,0.629583333,6/12/19,,15:06:36,3:06:36 PM,Day,2019-06-12T15:06:36,2019-06-12T15:06:40,Taxidea taxus,American Badger,Unknown,Unknown,N,1,48.33213,-108.81989,FALSE
Smithsonian Grassland Ecology Program,PN_2019,PN_2019:Other,spring_PN_PD77_Cam 2,Researcher,d53870,d53870s58,43622,4,43625,0.919814815,6/9/19,,22:04:32,10:04:32 PM,Night,2019-06-09T22:04:32,2019-06-09T22:04:36,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.66586,-109.80515,FALSE
Smithsonian Grassland Ecology Program,PN_2019,PN_2019:Other,spring_PN_PD77_Cam 2,Researcher,d53870,d53870s99,43622,10,43631,0.976145833,6/15/19,,23:25:39,11:25:39 PM,Night,2019-06-15T23:25:39,2019-06-15T23:25:39,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.66586,-109.80515,FALSE
Smithsonian Grassland Ecology Program,Sun_Prairie_North_2019,Sun_Prairie_North_2019:Other,spring_SunPrairieNorth_2146_Cam2,Researcher,d53996,d53996s3,43619,54,43672,0.184247685,7/26/19,,4:25:19,4:25:19 AM,Night,2019-07-26T04:25:19,2019-07-26T04:25:19,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.93819,-107.75809,FALSE
Smithsonian Grassland Ecology Program,Timber_Creek_2019,Timber_Creek_2019:Other,spring_TimberC_Cattle_Cam2,Researcher,d54116,d54116s3,43625,2,43626,0.087384259,6/10/19,,2:05:50,2:05:50 AM,Night,2019-06-10T02:05:50,2019-06-10T02:05:54,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.76217,-107.32143,FALSE
Smithsonian Grassland Ecology Program,Timber_Creek_2019,Timber_Creek_2019:Other,spring_TimberCreek_PD17_Cam3,Researcher,d54111,d54111s29,43630,34,43663,0.938530093,7/17/19,,22:31:29,10:31:29 PM,Night,2019-07-17T22:31:29,2019-07-17T22:31:33,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.81655,-107.27634,FALSE
Smithsonian Grassland Ecology Program,Timber_Creek_2019,Timber_Creek_2019:Other,spring_TimberCreek_PD18_Cam3,Researcher,d54105,d54105s21,43625,5,43629,0.090347222,6/13/19,,2:10:06,2:10:06 AM,Night,2019-06-13T02:10:06,2019-06-13T02:10:10,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.81273,-107.19563,FALSE
Smithsonian Grassland Ecology Program,SCB_APR_2018_R2,SCB_APR_2018_R2:Grassland,TC_PD17_Cam3_R2,Researcher,d46805,d46805s2,43355,5,43359,0.959178241,9/16/18,,23:01:13,11:01:13 PM,Night,2018-09-16T23:01:13,2018-09-16T23:01:17,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.81386,-107.27271,FALSE
Smithsonian Grassland Ecology Program,SCB_APR_2018_R2,SCB_APR_2018_R2:Grassland,TC_PD17_Cam3_R2,Researcher,d46805,d46805s11,43355,29,43383,0.627175926,10/10/18,,15:03:08,3:03:08 PM,Day,2018-10-10T15:03:08,2018-10-10T15:03:12,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.81386,-107.27271,FALSE